#{"t_start": 1746538978.3388743, "env_id": "Pendulum-v1"}
r,l,t
-898.598179,200,0.289551
-1575.424202,200,0.388277
-1712.247465,200,0.488452
-779.313038,200,0.58741
-1121.276654,200,0.68662
-1805.064193,200,0.785651
-1353.469751,200,0.883584
-711.835299,200,0.983267
-969.42487,200,1.082058
-1821.840322,200,1.180681
-1392.691007,200,2.089228
-879.271414,200,2.187434
-907.001712,200,2.284628
-923.642085,200,2.382254
-870.458747,200,2.48182
-835.639118,200,2.580849
-1079.999846,200,2.680972
-968.443361,200,2.783013
-1067.847051,200,2.884254
-984.881884,200,2.985973
-1069.622581,200,3.851712
-876.294395,200,3.947672
-1129.317946,200,4.045805
-1636.209755,200,4.142248
-1562.0248,200,4.23956
-1503.368114,200,4.336781
-913.743342,200,4.434116
-1550.759805,200,4.531668
-1730.650244,200,4.62844
-872.175291,200,4.724684
-1186.693511,200,5.523826
-1176.079766,200,5.622822
-1500.251006,200,5.72265
-969.430386,200,5.822256
-1323.737443,200,5.920941
-1381.400921,200,6.020586
-1735.190811,200,6.12075
-857.290926,200,6.220369
-1464.833332,200,6.321339
-1006.842632,200,6.422052
-1359.101828,200,7.239839
-1409.140208,200,7.333597
-1412.227645,200,7.428397
-1210.533487,200,7.523204
-1194.683989,200,7.627887
-1545.756308,200,7.733231
-1324.848686,200,7.836917
-955.36633,200,7.939555
-1304.53094,200,8.03748
-1244.805323,200,8.135839
-1318.009427,200,8.253196
-1071.063856,200,9.045789
-1021.248838,200,9.139157
-1018.006703,200,9.232477
-1071.755998,200,9.326059
-1117.592479,200,9.418868
-1270.379826,200,9.512208
-1507.738924,200,9.605066
-1053.616978,200,9.698899
-1528.083929,200,9.792568
-886.222092,200,9.885751
-877.716283,200,10.660738
-1717.405503,200,10.752692
-1065.23478,200,10.846105
-974.845061,200,10.938894
-1788.283479,200,11.032674
-1665.598924,200,11.126385
-813.987781,200,11.219208
-864.015859,200,11.312901
-1704.522759,200,11.405846
-1166.125057,200,11.498956
-900.829078,200,12.271093
-1288.444277,200,12.365518
-898.808589,200,12.459229
-1396.567682,200,12.552653
-904.609129,200,12.647687
-1349.824246,200,12.742885
-979.25389,200,12.836569
-1407.205908,200,12.931347
-1507.420288,200,13.025836
-1295.876721,200,13.119296
-1525.246859,200,13.89336
-1121.59117,200,13.984628
-946.561409,200,14.077074
-1535.269147,200,14.168566
-1545.598799,200,14.261144
-895.131284,200,14.352734
-785.735095,200,14.444859
-980.019292,200,14.536319
-785.027659,200,14.628712
